,Latin word,Enlish word,Definition
12,excido,fall,"{'Noun': ['the season when the leaves fall from the trees', 'a sudden drop from an upright position', 'the lapse of mankind into sinfulness because of the sin of Adam and Eve', 'a downward slope or bend', 'a lapse into sin; a loss of innocence or of chastity', 'a sudden decline in strength or number or importance', 'a movement downward', 'the act of surrendering (usually under agreed conditions', 'the time of day immediately following sunset', ""when a wrestler's shoulders are forced to the mat"", 'a free and rapid descent by the force of gravity', 'a sudden sharp decrease in some quantity'], 'Verb': ['descend in free fall under the influence of gravity', 'move downward and lower, but not necessarily all the way', 'pass suddenly and passively into a state of body or mind', 'come under, be classified or included', 'fall from clouds', 'suffer defeat, failure, or ruin', 'die, as in battle or in a hunt', 'touch or seem as if touching visually or audibly', 'be captured', 'occur at a specified time or place', 'decrease in size, extent, or range', 'yield to temptation or sin', 'lose office or power', 'to be given by assignment or distribution', 'move in a specified direction', 'be due', ""lose one's chastity"", 'to be given by right or inheritance', 'come into the possession of', 'fall to somebody by assignment or lot', 'be inherited by', 'slope downward', 'lose an upright position suddenly', 'drop oneself to a lower or less erect position', 'fall or flow in a certain way', 'assume a disappointed or sad expression', 'be cast down', 'come out; issue', 'be born, used chiefly of lambs', 'begin vigorously', 'go as if by falling', 'come as if by falling']}"
13,gra,gram,"{'Noun': ['a metric unit of weight equal to one thousandth of a kilogram', 'Danish physician and bacteriologist who developed a method of staining bacteria to distinguish among them (1853-1938']}"
14,parcior,sparter,
15,phalaricus,phalaricus,
16,quimquam,quimquam,
17,resigium,residence,"{'Noun': ['any address at which you dwell more than temporarily', 'the official house or establishment of an important person (as a sovereign or president', 'the act of dwelling in a place', 'a large and imposing house']}"
18,dicto,say,"{'Noun': ['the chance to speak'], 'Verb': ['express in words', 'report or maintain', 'express a supposition', 'have or contain a certain wording or form', 'give instructions to or direct somebody to do something with authority', 'speak, pronounce, or utter in a certain way', 'communicate or express nonverbally', 'utter aloud', ""state as one's opinion or judgement; declare"", 'recite or repeat a fixed text', 'indicate']}"
19,devovi,devotion,"{'Noun': ['feelings of ardent love', 'commitment to some purpose', 'religious zeal; the willingness to serve God', '(usually plural', 'usually spoken silently']}"
20,memorabilis,memorable,{'Adjective': ['worth remembering']}
21,hiemem,winter,"{'Noun': ['the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox'], 'Verb': ['spend the winter']}"
22,acesta,acesta,
23,discindo,split,"{'Noun': ['extending the legs at right angles to the trunk (one in front and the other in back', 'a bottle containing half the usual amount', 'a promised or claimed share of loot or money', 'a lengthwise crack in wood', 'an opening made forcibly as by pulling apart', 'an old Croatian city on the Adriatic Sea', 'a dessert of sliced fruit and ice cream covered with whipped cream and cherries and nuts', '(tenpin bowling', ""an increase in the number of outstanding shares of a corporation without changing the shareholders' equity"", 'the act of rending or ripping or splitting something', 'division of a group into opposing factions'], 'Verb': ['separate into parts or portions', 'separate or cut with a tool, such as a sharp instrument', 'discontinue an association or relation; go different ways', ""go one's own way; move apart"", 'come open suddenly and violently, as if from internal pressure'], 'Adjective': ['having been divided; having the unity destroyed', '(especially of wood']}"
24,exsor,be in a good manner,
25,aevum,age,"{'Noun': ['how long something has existed', 'an era of history having some distinctive feature', 'a time of life (usually defined in years', 'a prolonged period of time', 'a late time of life'], 'Verb': ['begin to seem older; get older', 'grow old or older', 'make older']}"
26,cervici,Cervici,
27,nus,nus,{'Noun': ['the 13th letter of the Greek alphabet']}
28,aereus,bronze,"{'Noun': ['an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin', 'a sculpture made of bronze'], 'Verb': ['give the color and appearance of bronze to something', 'get a tan, from wind or sun'], 'Adjective': ['of the color of bronze', 'made from or consisting of bronze']}"
29,mellis,honey,"{'Noun': ['a sweet yellow liquid produced by bees', 'a beloved person; used as terms of endearment'], 'Verb': ['sweeten with honey'], 'Adjective': ['of something having the color of honey']}"
30,glacialis,Ice,"{'Noun': ['water frozen in the solid state', 'the frozen part of a body of water', 'diamonds', 'a flavored sugar topping used to coat and decorate cakes', 'a frozen dessert with fruit flavoring (especially one containing no milk', 'an amphetamine derivative (trade name Methedrine', 'a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine', 'a rink with a floor of ice for ice hockey or ice skating'], 'Verb': ['decorate with frosting', 'cause to become ice or icy', 'put ice on or put on ice']}"
31,colligo,infer,"{'Verb': ['reason by deduction; establish by deduction', 'draw from specific cases for more general cases', 'conclude by reasoning; in logic', 'guess correctly; solve by guessing', 'believe to be the case']}"
32,nimbus,rainstorm,{'Noun': ['a storm with rain']}
33,dubeto,dubeto,
34,quadrup,four-footed,{'Adjective': ['having four feet']}
35,pueriquus,boatque,
36,cavavit,cavavit,
37,livida,livid,"{'Adjective': ['anemic looking from illness or emotion', '(of a light', 'furiously angry', 'discolored by coagulation of blood beneath the skin']}"
38,victriciaque,victriciaque,
39,discludo,separate,"{'Noun': ['a separately printed article that originally appeared in a larger publication', 'a garment that can be purchased separately and worn in combinations with other garments'], 'Verb': ['act as a barrier between; stand between', 'force, take, or pull apart', 'mark as different', 'separate into parts or portions', 'divide into components or constituents', 'arrange or order by classes or categories', 'make a division or separation', 'discontinue an association or relation; go different ways', ""go one's own way; move apart"", 'become separated into pieces or fragments', 'treat differently on the basis of sex or race', 'come apart', 'divide into two or more branches so as to form a fork'], 'Adjective': ['independent; not united or joint', 'standing apart; not attached to or supported by anything', 'separated according to race, sex, class, or religion', 'have the connection undone; having become separate']}"
40,summovet,Closing,"{'Noun': ['the act of closing something', 'the last section of a communication', 'approaching a particular destination; a coming closer; a narrowing of a gap', 'termination of operations', 'a concluding action'], 'Verb': ['move so that an opening or passage is obstructed; make shut', 'become closed', 'cease to operate or cause to cease operating', 'finish or terminate (meetings, speeches, etc.', 'come to a close', 'complete a business deal, negotiation, or an agreement', 'be priced or listed when trading stops', 'engage at close quarters', 'cause a window or an application to disappear on a computer desktop', ""change one's body stance so that the forward shoulder and foot are closer to the intended point of impact"", 'come together, as if in an embrace', 'draw near', 'bring together all the elements or parts of', 'bar access to', 'fill or stop up', 'unite or bring into contact or bring together the edges of', 'finish a game in baseball by protecting a lead'], 'Adjective': ['final or ending']}"
41,tisiphoneque,tisiphoneque,
42,sulcus,sulcus,{'Noun': ['(anatomy']}
43,bellumque,war,"{'Noun': ['the waging of armed conflict against an enemy', 'a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply', 'an active struggle between competing entities', 'a concerted campaign to end something that is injurious'], 'Verb': ['make or wage war']}"
44,paco,PACO,
45,fluvius,river,{'Noun': ['a large natural stream of water (larger than a creek']}
46,semesam,semesam,
47,supervolat,supervolat,
48,myrtum,myrtle,"{'Noun': ['widely cultivated as a groundcover for its dark green shiny leaves and usually blue-violet flowers', 'any evergreen shrub or tree of the genus Myrtus']}"
49,immisceo,intermingle,{'Verb': ['combine into one']}
50,riosum,riosis,
51,consuesco,be used to,
52,desolo,abandon,"{'Noun': ['the trait of lacking restraint or control; reckless freedom from inhibition or worry', 'a feeling of extreme emotional intensity'], 'Verb': ['forsake, leave behind', 'give up with the intent of never claiming again', 'leave behind empty; move out of', 'stop maintaining or insisting on; of ideas or claims', 'leave someone who needs or counts on you; leave in the lurch']}"
53,nervoque,nervoque,
54,finisque,the end,
55,axis,Axis,"{'Noun': ['a straight line through a body or figure that satisfies certain conditions', 'the main stem or central part about which plant organs or plant parts such as branches are arranged', 'in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations', 'a group of countries in special alliance', 'the 2nd cervical vertebra; serves as a pivot for turning the head', 'the center around which something rotates']}"
56,novantem,novan,
57,excesso,take away,
58,recedo,retreat,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}"
59,dana,dana,{'Noun': ['Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don']}
60,effuno,effuno,
61,egelidus,ELIDE,{'Verb': ['leave or strike out']}
62,taurum,bull,"{'Noun': ['uncastrated adult male of domestic cattle', 'a large and strong and heavyset man', 'obscene words for unacceptable behavior', 'a serious and ludicrous blunder', 'uncomplimentary terms for a policeman', 'an investor with an optimistic market outlook; an investor who expects prices to rise and so buys now for resale later', '(astrology', 'the second sign of the zodiac; the sun is in this sign from about April 20 to May 20', 'the center of a target', 'a formal proclamation issued by the pope (usually written in antiquated characters and sealed with a leaden bulla', ""mature male of various mammals of which the female is called `cow'; e.g. whales or elephants or especially cattle""], 'Verb': ['push or force', 'try to raise the price of stocks through speculative buying', 'speak insincerely or without regard for facts or truths', 'advance in price']}"
63,dextera,right,"{'Noun': ['an abstract idea of that which is due to a person or governmental body by law or tradition or nature', 'location near or direction toward the right side; i.e. the side to the south when a person or object faces east', ""the piece of ground in the outfield on the catcher's right"", 'those who support political or social or economic conservatism; those who believe that things are better left unchanged', 'the hand that is on the right side of the body', 'a turn toward the side of the body that is on the south when the person is facing east', 'anything in accord with principles of justice', '(frequently plural'], 'Verb': ['make reparations or amends for', 'put in or restore to an upright position', 'regain an upright or proper position', 'make right or correct'], 'Adjective': ['being or located on or directed toward the side of the body to the east when facing north', 'free from error; especially conforming to fact or truth', 'socially right or correct', 'in conformance with justice or law or morality', 'correct in opinion or judgment', ""appropriate for a condition or purpose or occasion or a person's character, needs"", 'of or belonging to the political or intellectual right', 'in or into a satisfactory condition', 'intended for the right hand', 'in accord with accepted standards of usage or procedure', 'having the axis perpendicular to the base', '(of the side of cloth or clothing', '(informal', 'most suitable or right for a particular purpose', 'precisely accurate'], 'Adverb': ['precisely, exactly', 'immediately', 'exactly', 'toward or on the right; also used figuratively', 'in the right manner; correctly; suitably', 'an interjection expressing agreement', '(Southern regional intensive', ""to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'"", 'in accordance with moral or social standards', 'in an accurate manner']}"
64,befero,befo,
65,abas,abas,"{'Noun': ['a loose sleeveless outer garment made from aba cloth; worn by Arabs', 'a fabric woven from goat hair and camel hair']}"
66,incensus,incense,"{'Noun': ['a substance that produces a fragrant odor when burned', 'the pleasing scent produced when incense is burned'], 'Verb': ['perfume especially with a censer', 'make furious']}"
67,motusque,emotions,{'Noun': ['any strong feeling']}
68,luserque,luserque,
69,clangux,clangux,
70,erudio,educate,"{'Verb': ['give an education to', 'create by training and teaching', 'teach or refine to be discriminative in taste or judgment']}"
71,prosum,prose,"{'Noun': ['ordinary writing as distinguished from verse', 'matter of fact, commonplace, or dull expression']}"
72,funes,cords,"{'Noun': ['a line made of twisted fibers or threads', 'a unit of amount of wood cut for burning; 128 cubic feet', 'a light insulated conductor for household use', 'a cut pile fabric with vertical ribs; usually made of cotton', 'cotton trousers made of corduroy cloth'], 'Verb': ['stack in cords', 'bind or tie with a cord']}"
73,cantus,singing,"{'Noun': ['the act of singing vocal music', 'disclosing information or giving evidence about another'], 'Verb': ['deliver by singing', 'produce tones with the voice', 'to make melodious sounds', 'make a whining, ringing, or whistling sound', 'divulge confidential information or secrets', 'burn superficially or lightly', 'become superficially burned'], 'Adjective': ['smooth and flowing']}"
74,violari,violated,"{'Verb': ['fail to agree with; be in violation of; as of rules or patterns', 'act in disregard of laws, rules, contracts, or promises', 'destroy', 'violate the sacred character of a place or language', 'force (someone', 'destroy and strip of its possession'], 'Adjective': ['treated irreverently or sacrilegiously']}"
75,sereo,sow,"{'Noun': ['an adult female hog'], 'Verb': ['place (seeds', 'introduce into an environment', 'place seeds in or on (the ground']}"
76,nobilis,Noble,"{'Noun': ['a titled peer of the realm'], 'Adjective': ['impressive in appearance', 'of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times', 'having or showing or indicative of high or elevated character', 'inert especially toward oxygen']}"
77,celo,conceal,"{'Verb': ['prevent from being seen or discovered', 'hold back; keep from being perceived by others']}"
78,metas,goas,{'Noun': ['a state of southwestern India; a former Portuguese colony']}
79,fabrilis,FABLE,"{'Noun': ['a deliberately false or improbable account', 'a short moral story (often with animal characters', 'a story about mythical or supernatural beings or events']}"
80,tondo,tonel,
81,creberque,couberque,
82,verbo,verbally,"{'Adverb': ['as a verb', 'by means of language']}"
83,adsultus,adsult,
84,pendeo,depend,"{'Verb': ['be contingent upon (something that is elided', 'have faith or confidence in']}"
85,rudo,blast,"{'Noun': ['a very long fly ball', 'a sudden very loud noise', 'a strong current of air', 'an explosion (as of dynamite', 'a highly pleasurable or exciting experience', 'intense adverse criticism'], 'Verb': ['make a strident sound', 'hit hard', 'use explosives on', 'apply a draft or strong wind to to', 'create by using explosives', 'make with or as if with an explosion', 'fire a shot', 'criticize harshly or violently', 'shatter as if by explosion', 'shrivel or wither or mature imperfectly']}"
86,diduco,divide,"{'Noun': ['a serious disagreement between two groups of people (typically producing tension or hostility', 'a ridge of land that separates two adjacent river systems'], 'Verb': ['separate into parts or portions', 'perform a division', 'act as a barrier between; stand between', 'come apart', 'make a division or separation', 'force, take, or pull apart']}"
87,adverteret,advert,"{'Noun': ['a public promotion of some product or service'], 'Verb': ['give heed (to', 'make a more or less disguised reference to', 'make reference to']}"
88,uresque,uresque,
89,obvertimus,obverti,
90,letalesque,letalesque,
91,validam,swon,
92,ambigus,ambiguous,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}"
93,conditor,founder,"{'Noun': ['inflammation of the laminated tissue that attaches the hoof to the foot of a horse', 'a person who founds or establishes some institution', 'a worker who makes metal castings'], 'Verb': ['fail utterly; collapse', 'sink below the surface', 'break down, literally or metaphorically', 'stumble and nearly fall']}"
94,movenda,move,"{'Noun': ['the act of deciding to do something', 'the act of changing your residence or place of business', 'a change of position that does not entail a change of location', 'the act of changing location from one place to another'], 'Verb': ['change location; move, travel, or proceed, also metaphorically', 'cause to move or shift into a new position or place, both in a concrete and in an abstract sense', 'move so as to change position, perform a nontranslational motion', 'change residence, affiliation, or place of employment', 'follow a procedure or take a course', 'be in a state of action', 'go or proceed from one point to another', 'perform an action, or work out or perform (an action', 'have an emotional or cognitive impact upon', 'give an incentive for action', 'arouse sympathy or compassion in', 'dispose of by selling', 'progress by being changed', ""live one's life in a specified environment"", ""have a turn; make one's move in a game"", 'propose formally; in a debate or parliamentary meeting']}"
95,immanis,monstrous,"{'Adjective': ['abnormally large', 'shockingly brutal or cruel', 'distorted and unnatural in shape or size; abnormal and hideous']}"
96,drances,DRANCES,
97,pulchrumque,beautiful,"{'Adjective': ['delighting the senses or exciting intellectual or emotional admiration', '(of weather']}"
98,persentio,persentio,
99,crinemque,crinemque,
100,circuo,circuo,
101,lavi,washed,"{'Verb': ['clean with some chemical process', ""cleanse (one's body"", 'cleanse with a cleaning agent, such as soap, and water', 'move by or as if by water', 'be capable of being washed', 'admit to testing or proof', 'separate dirt or gravel from (precious minerals', 'apply a thin coating of paint, metal, etc., to', 'remove by the application of water or other liquid and soap or some other cleaning agent', 'form by erosion', 'make moist', 'wash or flow against', 'to cleanse (itself or another animal'], 'Adjective': ['clean by virtue of having been washed in water', 'wet as from washing; sometimes used in combination']}"
102,praefico,prefix,"{'Noun': ['an affix that is added in front of the word'], 'Verb': ['attach a prefix to']}"
103,solem,sun,"{'Noun': ['the star that is the source of light and heat for the planets in the solar system', 'the rays of the sun', 'a person considered as a source of warmth or energy or glory etc', 'any star around which a planetary system revolves', 'first day of the week; observed as a day of rest and worship by most Christians'], 'Verb': [""expose one's body to the sun"", 'expose to the rays of the sun or affect by exposure to the sun']}"
104,aries,ram,"{'Noun': ['the most common computer memory which can be used by programs to perform necessary tasks while the computer is on; an integrated circuit memory chip allows information to be stored or accessed in any order and all storage locations are equally accessible', '(astrology', 'the first sign of the zodiac which the sun enters at the vernal equinox; the sun is in this sign from about March 21 to April 19', 'a tool for driving or forcing something by impact', 'uncastrated adult male sheep'], 'Verb': ['strike or drive against with a heavy impact', 'force into or from an action or state, either physically or metaphorically', 'undergo damage or destruction on impact', 'crowd or pack to capacity']}"
105,volvuntur,roll,"{'Noun': ['rotary motion of an object around its own axis', 'a list of names', 'a long heavy sea wave as it advances towards the shore', 'photographic film rolled up inside a container to protect it from light', 'a round shape formed by a series of concentric circles (as formed by leaves or flower petals', 'a roll of currency notes (often taken as the resources of a person or business etc.', 'small rounded bread either plain or sweet', 'a deep prolonged sound (as of thunder or large bells', 'the sound of a drum (especially a snare drum', 'a document that can be rolled up (as for storage', 'anything rolled up in cylindrical form', 'the act of throwing dice', 'walking with a swaying gait', 'a flight maneuver; aircraft rotates about its longitudinal axis without changing direction or losing altitude', 'the act of rolling something (as the ball in bowling'], 'Verb': ['move by turning over or rotating', 'move along on or as if on wheels or a wheeled vehicle', 'occur in soft rounded shapes', 'flatten or spread with a roller', 'emit, produce, or utter with a deep prolonged reverberating sound', 'arrange or or coil around', 'begin operating or running', 'shape by rolling', 'execute a roll, in tumbling', 'sell something to or obtain something from by energetic and especially underhanded activity', 'move in a wavy pattern or with a rising and falling motion', 'move about aimlessly or without any destination, often in search of food or employment', 'move, rock, or sway from side to side', 'cause to move by turning over or in a circular manner of as if on an axis', 'pronounce with a roll, of the phoneme /r/', 'boil vigorously', 'take the shape of a roll or cylinder', 'show certain properties when being rolled']}"
106,excitum,stir,"{'Noun': ['a prominent or sensational but short-lived news event', 'emotional agitation and excitement', 'a rapid active commotion'], 'Verb': ['move an implement through', 'move very slightly', 'stir feelings in', 'stir the feelings, emotions, or peace of', 'affect emotionally', 'summon into action or bring into existence, often as if by magic', 'to begin moving', 'mix or add by stirring']}"
107,divinique,Divinique,
108,subeo,subto,
109,corono,bleach,"{'Noun': ['the whiteness that results from removing the color from something', 'an agent that makes things white or colorless', 'the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent'], 'Verb': ['remove color from', 'make whiter or lighter']}"
110,coniugium,marriage,"{'Noun': ['the state of being a married couple voluntarily joined for life (or until divorce', 'two people who are married to each other', 'the act of marrying; the nuptial ceremony', 'a close and intimate union']}"
111,crimenque,crimenque,
112,secius,in a manner,
113,fidosue,fidosue,
114,cretheo,cretheo,
115,rebo,Rebo,
116,summoque,very high,
117,ruentum,ruentum,
118,transadigo,hole,"{'Noun': ['an opening into or through something', 'an opening deliberately made in or through something', 'one playing period (from tee to green', 'an unoccupied space', 'a depression hollowed out of solid matter', 'a fault', 'informal terms for a difficult situation', 'informal terms for the mouth'], 'Verb': ['hit the ball into the hole', 'make holes in']}"
119,praesagus,PROBABLE,"{'Noun': ['an applicant likely to be chosen'], 'Adjective': ['likely but not certain to be or become true or real', 'apparently destined']}"
120,suspicio,suspect,"{'Noun': ['someone who is under suspicion', 'a person or institution against whom an action is brought in a court of law; the person being sued or accused'], 'Verb': ['imagine to be the case or true or probable', 'regard as untrustworthy; regard with suspicion; have no faith or confidence in', 'hold in suspicion; believe to be guilty'], 'Adjective': ['not as expected']}"
121,maculus,spotted,"{'Verb': ['catch sight of', 'detect with the senses', 'mar or impair with a flaw', 'make a spot or mark onto', 'become spotted', 'mark with a spot or spots so as to allow easy recognition'], 'Adjective': ['having spots or patches (small areas of contrasting color or texture']}"
122,atrum,dark,"{'Noun': ['absence of light or illumination', 'absence of moral or spiritual values', 'an unilluminated area', 'the time after sunset and before sunrise while it is dark outside', 'an unenlightened state'], 'Adjective': ['devoid of or deficient in light or brightness; shadowed or black', '(used of color', 'brunet (used of hair or skin or eyes', 'stemming from evil characteristics or forces; wicked or dishonorable', 'secret', 'showing a brooding ill humor', 'lacking enlightenment or knowledge or culture', 'marked by difficulty of style or expression', 'causing dejection', 'not giving performances; closed']}"
123,diversa,diverse,"{'Adjective': ['many and different', 'distinctly dissimilar or unlike']}"
124,saepius,often,"{'Adverb': ['many times at short intervals', 'frequently or in great quantities', 'in many cases or instances']}"
125,trinacria,trinacria,
126,membrum,limb,"{'Noun': ['one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper', 'any of the main branches arising from the trunk or a bough of a tree', '(astronomy', 'either of the two halves of a bow from handle to tip', 'the graduated arc that is attached to an instrument for measuring angles', 'any projection that is thought to resemble a human arm']}"
127,abiicio,cast off,
128,mareo,mate,"{'Noun': ['the officer below the master on a commercial ship', 'a fellow member of a team', 'the partner of an animal (especially a sexual partner', ""a person's partner in marriage"", 'an exact duplicate', 'one of a pair', 'South American holly; leaves used in making a drink like tea', 'informal term for a friend of the same sex', 'South American tea-like drink made from leaves of a South American holly called mate', ""a chess move constituting an inescapable and indefensible attack on the opponent's king""], 'Verb': ['engage in sexual intercourse', 'bring two objects, ideas, or people together', ""place an opponent's king under an attack from which it cannot escape and thus ending the game""]}"
129,forsan,perhaps,{'Adverb': ['by chance']}
130,nanco,nanco,
131,revocabat,recalled,"{'Verb': ['recall knowledge from memory; have a recollection', 'go back to something earlier', 'call to mind', 'summon to return', ""cause one's (or someone else's"", 'make unavailable; bar from sale or distribution', 'cause to be returned']}"
132,ilies,ilies,
133,falso,falsely,"{'Adverb': ['in an insincerely false manner', 'in an incorrect manner']}"
134,eoorior,eoorior,
135,anceps,uncertain,"{'Adjective': ['lacking or indicating lack of confidence or assurance', 'or unsure', 'not established beyond doubt; still undecided or unknown', 'not established or confirmed', 'not certain to occur; not inevitable', 'subject to change', 'not consistent or dependable', 'ambiguous (especially in the negative']}"
136,sinuusque,sinuusque,
137,volare,fly,"{'Noun': ['two-winged insects characterized by active flight', 'flap consisting of a piece of canvas that can be drawn back to provide entrance to a tent', 'an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth', '(baseball', ""fisherman's lure consisting of a fishhook decorated to look like an insect""], 'Verb': ['travel through the air; be airborne', 'move quickly or suddenly', 'operate an airplane', 'transport by aeroplane', 'cause to fly or float', 'be dispersed or disseminated', 'change quickly from one emotional state to another', 'pass away rapidly', 'travel in an airplane', 'display in the air or cause to float', 'run away quickly', 'travel over (an area of land or sea', 'hit a fly', 'decrease rapidly and disappear'], 'Adjective': ['(British informal']}"
138,faces,torch,"{'Noun': ['a light usually carried in the hand; consists of some flammable substance', 'tall-stalked very woolly mullein with densely packed yellow flowers; ancient Greeks and Romans dipped the stalks in tallow for funeral torches', 'a small portable battery-powered electric lamp', 'a burner that mixes air and gas to produce a very hot flame'], 'Verb': ['burn maliciously, as by arson']}"
139,coniunx,wife,"{'Noun': [""a married woman; a man's partner in marriage""]}"
140,equido,equido,
141,convolsaque,Convolsaque,
142,purpureus,purple,"{'Noun': ['a purple color or pigment', '(in ancient Rome', '(Roman Catholic Church'], 'Verb': ['become purple', 'color purple'], 'Adjective': ['of a color intermediate between red and blue', 'excessively elaborate or showily expressed', 'belonging to or befitting a supreme ruler']}"
143,proximus,next,"{'Adjective': ['immediately following in time or order', 'nearest in space or position; immediately adjoining without intervening space', '(of elected officers', '(of a day of the week', 'or nearest but one'], 'Adverb': ['at the time or occasion immediately following']}"
144,valuit,worth,"{'Noun': ['an indefinite quantity of something having a specified value', 'the quality that renders something desirable or valuable or useful', 'French couturier (born in England', '1825-1895'], 'Adjective': ['(often used ironically', 'having a specified value']}"
145,vixet,vixet,
146,superimmineo,surmise,"{'Noun': ['a message expressing an opinion based on incomplete evidence'], 'Verb': ['infer from incomplete evidence', 'imagine to be the case or true or probable']}"
147,attrecto,attrect,
148,revolvo,Unroll,"{'Verb': ['reverse the winding or twisting of', 'unroll, unfold, or spread out or be unrolled, unfolded, or spread out from a furled state']}"
149,suadeo,recommend,"{'Verb': ['push for something', 'express a good opinion of', 'make attractive or acceptable']}"
150,inlacrimo,weep at,
151,intus,inside,"{'Noun': ['the region that is inside of something', 'the inner or enclosed surface of something'], 'Adjective': ['relating to or being on the side closer to the center or within a defined space', 'being or applying to the inside of a building', 'confined to an exclusive group', 'away from the outer edge'], 'Adverb': ['within a building', 'on the inside', 'with respect to private feelings', 'in reality']}"
152,sergestus,sergest,
153,pulverulenta,pulverulenta,
154,decrevitque,decrevitque,
155,auspicium,auspicium,
156,saleus,salt,"{'Noun': ['a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal', 'white crystalline form of especially sodium chloride used to season and preserve food', ""negotiations between the United States and the Union of Soviet Socialist Republics opened in 1969 in Helsinki designed to limit both countries' stock of nuclear weapons"", 'the taste experience when common salt is taken into the mouth'], 'Verb': ['add salt to', 'sprinkle as if with salt', 'add zest or liveliness to', 'preserve with salt'], 'Adjective': ['(of speech']}"
157,addio,add,"{'Noun': ['a condition (mostly in boys'], 'Verb': ['make an addition (to', 'state or say further', 'bestow a quality on', 'make an addition by combining numbers', 'determine the sum of', 'constitute an addition']}"
158,patriamque,country,"{'Noun': ['a politically organized body of people under a single government', 'the territory occupied by a nation', 'the people who live in a nation or country', 'an area outside of cities and towns', 'a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography']}"
159,maestoque,maestoque,
160,seceo,secrete,"{'Verb': ['generate and separate from cells or bodily fluids', 'place out of sight; keep secret']}"
